Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
266,1596870508760.006592,1596870508799.932373,39.925781,-0.282959
267,1596870508860.281494,1596870508900.224365,39.942871,-0.274902
268,1596870508960.627686,1596870509000.585205,39.957520,-0.346191
269,1596870509060.931396,1596870509100.872559,39.941162,-0.303711
270,1596870509161.315430,1596870509201.313477,39.998047,-0.384033
271,1596870509261.557373,1596870509301.518066,39.960693,-0.241943
272,1596870509361.810547,1596870509401.731689,39.921143,-0.253174
273,1596870509462.083252,1596870509502.044678,39.961426,-0.272705
274,1596870509562.356934,1596870509602.298828,39.941895,-0.273682
275,1596870509662.603760,1596870509702.487793,39.884033,-0.246826
276,1596870509762.884033,1596870509802.879395,39.995361,-0.280273
277,1596870509863.217529,1596870509903.175293,39.957764,-0.333496
278,1596870509963.662842,1596870510003.666992,40.004150,-0.445312
279,1596870510063.887207,1596870510103.804688,39.917480,-0.224365
280,1596870510164.162842,1596870510204.085205,39.922363,-0.275635
281,1596870510264.494629,1596870510304.442871,39.948242,-0.331787
282,1596870510364.716309,1596870510404.627197,39.910889,-0.221680
283,1596870510465.003418,1596870510505.031982,40.028564,-0.287109
284,1596870510565.419434,1596870510605.722412,40.302979,-0.416016
285,1596870510665.677490,1596870510705.513916,39.836426,-0.258057
286,1596870510765.911621,1596870510805.856201,39.944580,-0.234131
287,1596870510866.207031,1596870510906.083008,39.875977,-0.295410
288,1596870510966.488770,1596870511006.375000,39.886230,-0.281738
289,1596870511066.809814,1596870511106.760986,39.951172,-0.321045
290,1596870511167.081299,1596870511207.058105,39.976807,-0.271484
291,1596870511267.341309,1596870511307.218750,39.877441,-0.260010
292,1596870511367.624023,1596870511407.512939,39.888916,-0.282715
293,1596870511467.904785,1596870511507.760986,39.856201,-0.280762
294,1596870511586.294678,1596870511626.282715,39.988037,-18.389893
295,1596870511686.584717,1596870511726.543213,39.958496,-0.290039
296,1596870511787.067139,1596870511827.044678,39.977539,-0.482422
297,1596870511887.279053,1596870511927.216797,39.937744,-0.211914
298,1596870511987.504150,1596870512027.439209,39.935059,-0.225098
299,1596870512087.756592,1596870512127.746826,39.990234,-0.252441
300,1596870512188.051514,1596870512227.967529,39.916016,-0.294922
