Frame Count,Start Time(in ms),End Time(in ms),Execution Time(in ms),Jitter(in ms)
320,1596866311441.129395,1596866311441.253418,0.124023,-0.414795
321,1596866311541.501221,1596866311541.679932,0.178711,-0.306396
322,1596866311641.929443,1596866311642.093750,0.164307,-0.371826
323,1596866311742.308838,1596866311742.538330,0.229492,-0.428223
324,1596866311842.781982,1596866311842.912842,0.130859,-0.379395
325,1596866311943.103027,1596866311943.261475,0.158447,-0.473145
326,1596866312043.537109,1596866312043.763428,0.226318,-0.321045
327,1596866312144.027344,1596866312144.202881,0.175537,-0.434082
328,1596866312244.395264,1596866312244.528564,0.133301,-0.490234
329,1596866312344.708252,1596866312344.857666,0.149414,-0.367920
330,1596866312445.042969,1596866312445.183350,0.140381,-0.312988
331,1596866312545.383545,1596866312545.543457,0.159912,-0.334717
332,1596866312645.775146,1596866312645.961426,0.186279,-0.340576
333,1596866312746.211670,1596866312746.334717,0.123047,-0.391602
334,1596866312846.563232,1596866312846.748291,0.185059,-0.436523
335,1596866312946.962646,1596866312947.110596,0.147949,-0.351562
336,1596866313047.295410,1596866313047.424316,0.128906,-0.399414
337,1596866313147.632568,1596866313147.803467,0.170898,-0.332764
338,1596866313248.074707,1596866313248.265381,0.190674,-0.337158
339,1596866313348.574463,1596866313348.780762,0.206299,-0.442139
340,1596866313449.083496,1596866313449.294678,0.211182,-0.499756
341,1596866313549.491455,1596866313549.619385,0.127930,-0.509033
342,1596866313649.822754,1596866313649.969971,0.147217,-0.407959
343,1596866313750.153564,1596866313750.260254,0.106689,-0.331299
344,1596866313850.473145,1596866313850.619873,0.146729,-0.330811
345,1596866313950.814941,1596866313950.967773,0.152832,-0.319580
346,1596866314051.159180,1596866314051.309326,0.150146,-0.341797
347,1596866314151.531006,1596866314151.698242,0.167236,-0.344238
348,1596866314251.876221,1596866314252.017090,0.140869,-0.371826
349,1596866314352.273193,1596866314352.473877,0.200684,-0.345215
350,1596866314452.785400,1596866314452.928223,0.142822,-0.396973
351,1596866314553.121826,1596866314553.296387,0.174561,-0.512207
352,1596866314653.528564,1596866314653.758057,0.229492,-0.336426
353,1596866314753.937256,1596866314754.084229,0.146973,-0.406738
354,1596866314854.310059,1596866314854.488770,0.178711,-0.408691
355,1596866314954.667480,1596866314954.776367,0.108887,-0.372803
356,1596866315054.938965,1596866315055.069336,0.130371,-0.357422
357,1596866315155.235596,1596866315155.333984,0.098389,-0.271484
358,1596866315255.484375,1596866315255.585693,0.101318,-0.296631
359,1596866315355.731689,1596866315355.826904,0.095215,-0.248779
360,1596866315455.979248,1596866315456.082520,0.103271,-0.247314
361,1596866315556.231445,1596866315556.330078,0.098633,-0.247559
362,1596866315656.479004,1596866315656.579590,0.100586,-0.252197
363,1596866315756.763672,1596866315756.880127,0.116455,-0.247559
364,1596866315857.035400,1596866315857.145264,0.109863,-0.284668
365,1596866315957.301025,1596866315957.399902,0.098877,-0.271729
366,1596866316057.542725,1596866316057.650391,0.107666,-0.265625
367,1596866316157.818359,1596866316157.948730,0.130371,-0.241699
368,1596866316258.123535,1596866316258.267334,0.143799,-0.275635
369,1596866316358.438477,1596866316358.562744,0.124268,-0.305176
370,1596866316458.756104,1596866316458.883545,0.127441,-0.314941
371,1596866316559.056641,1596866316559.166260,0.109619,-0.317627
372,1596866316659.358398,1596866316659.477051,0.118652,-0.300537
373,1596866316759.627441,1596866316759.731201,0.103760,-0.301758
374,1596866316859.907715,1596866316860.078125,0.170410,-0.269043
375,1596866316960.296387,1596866316960.421143,0.124756,-0.280273
376,1596866317060.580078,1596866317060.709229,0.129150,-0.388672
377,1596866317160.864746,1596866317160.964600,0.099854,-0.283691
378,1596866317261.147705,1596866317261.268066,0.120361,-0.284668
379,1596866317361.450439,1596866317361.567627,0.117188,-0.282959
380,1596866317461.920166,1596866317462.026123,0.105957,-0.302734
381,1596866317562.185303,1596866317562.285400,0.100098,-0.469727
382,1596866317662.434326,1596866317662.548340,0.114014,-0.265137
383,1596866317762.731934,1596866317762.846436,0.114502,-0.249023
384,1596866317862.994873,1596866317863.093750,0.098877,-0.297607
385,1596866318119.897705,1596866318119.945801,0.048096,-0.262939
386,1596866318220.110107,1596866318220.249268,0.139160,-156.902832
387,1596866318320.440430,1596866318320.583740,0.143311,-0.212402
388,1596866318420.784180,1596866318420.945068,0.160889,-0.330322
389,1596866318521.139893,1596866318521.289551,0.149658,-0.343750
390,1596866318621.554932,1596866318621.808350,0.253418,-0.355713
391,1596866318722.058105,1596866318722.246094,0.187988,-0.415039
392,1596866318822.516357,1596866318822.807129,0.290771,-0.503174
393,1596866318923.055664,1596866318923.251953,0.196289,-0.458252
394,1596866319023.432617,1596866319023.625732,0.193115,-0.539307
395,1596866319123.801758,1596866319123.936768,0.135010,-0.376953
396,1596866319224.142578,1596866319224.282715,0.140137,-0.369141
397,1596866319324.464600,1596866319324.589844,0.125244,-0.340820
398,1596866319424.784668,1596866319424.925781,0.141113,-0.322021
399,1596866319525.124756,1596866319525.277832,0.153076,-0.320068
400,1596866319625.455566,1596866319625.588135,0.132568,-0.340088
401,1596866319725.797119,1596866319726.015137,0.218018,-0.330811
402,1596866319826.279785,1596866319826.423828,0.144043,-0.341553
403,1596866319926.663574,1596866319926.889160,0.225586,-0.482666
404,1596866320027.123535,1596866320027.253662,0.130127,-0.383789
405,1596866320127.464844,1596866320127.627686,0.162842,-0.459961
406,1596866320227.833740,1596866320227.965820,0.132080,-0.341309
407,1596866320328.191406,1596866320328.374756,0.183350,-0.368896
408,1596866320428.575439,1596866320428.705811,0.130371,-0.357666
409,1596866320528.884033,1596866320529.000977,0.116943,-0.384033
410,1596866320629.175049,1596866320629.287354,0.112305,-0.308594
411,1596866320729.457520,1596866320729.573486,0.115967,-0.291016
412,1596866320829.742188,1596866320829.846924,0.104736,-0.282471
413,1596866320930.015381,1596866320930.120117,0.104736,-0.284668
414,1596866321030.281494,1596866321030.392334,0.110840,-0.273193
415,1596866321130.547119,1596866321130.653809,0.106689,-0.266113
416,1596866321230.836426,1596866321230.948730,0.112305,-0.265625
417,1596866321331.102051,1596866321331.206543,0.104492,-0.289307
418,1596866321431.352539,1596866321431.450195,0.097656,-0.265625
419,1596866321531.614014,1596866321531.760498,0.146484,-0.250488
420,1596866321631.938232,1596866321632.066406,0.128174,-0.261475
421,1596866321732.261475,1596866321732.424072,0.162598,-0.324219
422,1596866321832.659180,1596866321832.780273,0.121094,-0.323242
423,1596866321932.943604,1596866321933.058838,0.115234,-0.397705
424,1596866322033.218018,1596866322033.324463,0.106445,-0.284424
425,1596866322133.468506,1596866322133.565430,0.096924,-0.274414
426,1596866322233.735107,1596866322233.894531,0.159424,-0.250488
427,1596866322334.070312,1596866322334.167725,0.097412,-0.266602
428,1596866322434.324463,1596866322434.442383,0.117920,-0.335205
429,1596866322534.602783,1596866322534.707275,0.104492,-0.254150
430,1596866322634.858398,1596866322634.969727,0.111328,-0.278320
431,1596866322735.110596,1596866322735.220703,0.110107,-0.255615
432,1596866322835.369385,1596866322835.501953,0.132568,-0.252197
433,1596866322935.659424,1596866322935.754883,0.095459,-0.258789
434,1596866323035.903320,1596866323036.007568,0.104248,-0.290039
435,1596866323136.151123,1596866323136.254639,0.103516,-0.243896
436,1596866323236.428711,1596866323236.601318,0.172607,-0.247803
437,1596866323336.783691,1596866323336.888672,0.104980,-0.277588
438,1596866323437.061035,1596866323437.183838,0.122803,-0.354980
439,1596866323537.338867,1596866323537.435303,0.096436,-0.277344
440,1596866323637.577881,1596866323637.715820,0.137939,-0.277832
441,1596866323737.875000,1596866323737.995850,0.120850,-0.239014
442,1596866323838.142578,1596866323838.235107,0.092529,-0.297119
443,1596866323938.549561,1596866323938.699707,0.150146,-0.267578
444,1596866324038.879883,1596866324038.999268,0.119385,-0.406982
445,1596866324139.224121,1596866324139.384766,0.160645,-0.330322
446,1596866324239.554199,1596866324239.671387,0.117188,-0.344238
447,1596866324339.829590,1596866324339.941895,0.112305,-0.330078
